% ID         RA         Dec       Ebv      Gal Long  Gal Lat    Ecl Long  Ecl Lat
000207    354.71429  -37.47692    0.01     354.2840  -71.5516   338.6368  -31.9483
000208      2.91304  -30.55385    0.01       9.1158  -80.6428   349.3289  -28.9344
000209     10.73913  -30.55385    0.01     330.8929  -86.1035   356.2816  -32.0210
000210     18.56522  -30.55385    0.02     248.7100  -83.9423     3.4590  -35.1319
000211     26.39130  -30.55385    0.02     232.2546  -77.6710    10.9313  -38.2185
000212     34.21739  -30.55385    0.02     228.3884  -71.0106    18.7762  -41.2256
000213     42.04348  -30.55385    0.02     227.5600  -64.2797    27.0751  -44.0911
000214     49.86957  -30.55385    0.02     227.9284  -57.5439    35.9066  -46.7444
000215     57.69565  -30.55385    0.01     228.9200  -50.8307    45.3329  -49.1065
000216     65.52174  -30.55385    0.04     230.3089  -44.1579    55.3810  -51.0922
000217     73.34783  -30.55385    0.01     231.9966  -37.5414    66.0187  -52.6157
000218     81.17391  -30.55385    0.02     233.9417  -30.9973    77.1347  -53.5997
000219     89.00000  -30.55385    0.03     236.1330  -24.5437    88.5353  -53.9881
000220     96.82609  -30.55385    0.06     238.5777  -18.2012    99.9696  -53.7572
000221    104.65217  -30.55385    0.13     241.2965  -11.9948   111.1797  -52.9212
000222    112.47826  -30.55385    0.23     244.3209   -5.9544   121.9536  -51.5288
000223    120.30435  -30.55385    0.52     247.6921   -0.1167   132.1583  -49.6532
000224    128.13043  -30.55385    0.15     251.4598    5.4734   141.7429  -47.3791
000225    135.95652  -30.55385    0.17     255.6804   10.7608   150.7215  -44.7924
000226    143.78261  -30.55385    0.10     260.4139   15.6785   159.1494  -41.9740
000227    151.60870  -30.55385    0.06     265.7168   20.1461   167.1026  -38.9969
000228    159.43478  -30.55385    0.06     271.6310   24.0704   174.6624  -35.9251
000229    167.26087  -30.55385    0.06     278.1674   27.3476   181.9082  -32.8155
000230    175.08696  -30.55385    0.06     285.2865   29.8704   188.9121  -29.7184
000231    182.91304  -30.55385    0.06     292.8808   31.5402   195.7380  -26.6790
000232    190.73913  -30.55385    0.07     300.7721   32.2823   202.4410  -23.7390
000233    198.56522  -30.55385    0.07     308.7300   32.0608   209.0675  -20.9369
000234    206.39130  -30.55385    0.05     316.5114   30.8866   215.6557  -18.3088
000235    214.21739  -30.55385    0.07     323.9060   28.8149   222.2360  -15.8890
000236    222.04348  -30.55385    0.13     330.7671   25.9334   228.8314  -13.7095
000237    229.86957  -30.55385    0.21     337.0199   22.3465   235.4573  -11.8000
000238    237.69565  -30.55385    0.11     342.6503   18.1609   242.1223  -10.1876
000239    245.52174  -30.55385    0.31     347.6860   13.4762   248.8285   -8.8960
000240    253.34783  -30.55385    0.28     352.1771    8.3800   255.5720   -7.9448
000241    261.17391  -30.55385    1.36     356.1829    2.9464   262.3440   -7.3488
000242    269.00000  -30.55385    0.79     359.7622   -2.7633   269.1322   -7.1176
000243    276.82609  -30.55385    0.23       2.9689   -8.6989   275.9223   -7.2548
000244    284.65217  -30.55385    0.12       5.8487  -14.8195   282.6997   -7.7582
000245    292.47826  -30.55385    0.12       8.4387  -21.0916   289.4515   -8.6199
000246    300.30435  -30.55385    0.12      10.7654  -27.4878   296.1678   -9.8262
000247    308.13043  -30.55385    0.08      12.8440  -33.9853   302.8434  -11.3587
000248    315.95652  -30.55385    0.09      14.6740  -40.5647   309.4787  -13.1947
000249    323.78261  -30.55385    0.05      16.2324  -47.2089   316.0807  -15.3079
000250    331.60870  -30.55385    0.02      17.4568  -53.9022   322.6630  -17.6693
000251    339.43478  -30.55385    0.02      18.2036  -60.6283   329.2466  -20.2473
000252    347.26087  -30.55385    0.02      18.1334  -67.3663   335.8600  -23.0083
000253    355.08696  -30.55385    0.01      16.3057  -74.0781   342.5393  -25.9166
000254      2.75000  -23.63077    0.03      51.6598  -80.2237   352.5835  -22.6592
000255     10.25000  -23.63077    0.02      88.3799  -85.7824   359.3724  -25.6334
000256     17.75000  -23.63077    0.03     175.6389  -84.3659     6.3311  -28.6112
000257     25.25000  -23.63077    0.01     198.3131  -78.2783    13.5114  -31.5482
000258     32.75000  -23.63077    0.01     206.3284  -71.7130    20.9674  -34.3959
000259     40.25000  -23.63077    0.03     211.0062  -65.0571    28.7526  -37.1013
000260     47.75000  -23.63077    0.02     214.4717  -58.3832    36.9147  -39.6069
000261     55.25000  -23.63077    0.02     217.3949  -51.7184    45.4889  -41.8506
